section,section_id,section_sis_id,submitted,attempt,"4389717: Orientation Question 01
Which AI ChatBots do you use regularly?",1.0,"4489823: Orientation Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4489822: Orientation Question 02
How much do you rely on AI ChatBots?",1.0,"4389718: Orientation Question 03
Have you ever used ChatBot to help with coding?",1.0,"4421347: Orientation Question 04
Do you think a ChatBot could help support someone doing the kind of statistical and data science analyses taught in STA130?",1.0,"4389719: Orientation Question 05
Do you think a ChatBot could contribute significantly to your learning process and experience in STA130?",1.0,"4389725: Orientation Question 06
What is your main concern about taking STA130?",0.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 03:47:29 UTC,1,"ChatGPT (free tier),Other",0.0,Claude3.5,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Worried about relying too much on chatbots and then failing to master the knowledge in the exam ,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 02:59:54 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Tremendously,0.0,Moderately,0.0,Tremendously,0.0,I am not good at any codes...,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 02:33:20 UTC,1,ChatGPT (free tier),1.0,n/a ,0.0,Minimally,1.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,The learning curve. I need to establish a good coding foundation but the process has been excruciating and rewarding.,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 01:55:23 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Tremendously,0.0,Minimally,1.0,Tremendously,0.0,Tremendously,0.0,Not fully understanding the codes and the logic behind them and being able to apply them in real time when faced with quizzes and tests,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 01:04:22 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,lack of coding knowledge,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 00:28:45 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,No,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,"I’m actually a beginner of python, but during the first lec, we type codes. I need to study on my own of the fundamental python knowledge. It’s a bit hard but I believe I can handle it.

 ",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-21 00:11:31 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 00:09:50 UTC,1,ChatGPT (free tier),1.0,-,0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Minimally,1.0,"it is kinda a new subject for me, i only took data mgmt in high school and it was relatively hard. So hope i can do this course good",0.0,6,1,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-21 00:01:15 UTC,1,"ChatGPT (free tier),Other",0.0,Claude,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,No concern,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-20 23:22:53 UTC,1,"ChatGPT (paid subscription),Microsoft Copilot",0.0,No,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Grades,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-20 21:39:51 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,I’m worried that the code we learn in this course will be difficult.,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-20 21:15:02 UTC,1,ChatGPT (free tier),1.0,"",0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,I don’t have experience about coding using Python so that I thought many knowledge is really difficult for me to understand,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-20 19:57:03 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,I have no basic knowledge of coding before so I can hardly understand some of the code during class,0.0,5,2,3.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-20 18:53:05 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"",0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,Moderately,0.0,Students need more time for get used to Python I think?,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-20 14:10:03 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"Not understanding the assignment, having trouble in statistical coding.",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-20 13:24:25 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,I don’t have any base for coding in the high school so that I am afraid that I cannot understand the knowledges the processor mentioned.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-20 03:13:14 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-20 02:40:09 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-19 21:35:45 UTC,1,ChatGPT (free tier),1.0,Non,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,"One of the main concerns for me about taking STA130 is that the course session contains coding with Python, which I have not learned before. ",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-19 20:33:31 UTC,1,I don't use a ChatBot regularly,0.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Tremendously,0.0,"My main concern about taking STA130 is being unable to understand Python because I am new to it. Although my CSC108 course is teaching me, it is a beginner class, so there will be some code I will not fully understand.",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-19 18:15:14 UTC,1,ChatGPT (free tier),1.0,No,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Everything is good,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-19 17:19:34 UTC,1,ChatGPT (free tier),1.0,ChatGPT.,0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,I am not familiar with coding.,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-19 14:11:56 UTC,1,ChatGPT (free tier),1.0,None,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,The coding part,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-19 05:34:23 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,.,0.0,Moderately,0.0,Minimally,1.0,Tremendously,0.0,Tremendously,0.0,My main concern is that I overlook some learning material due to the chat or not being able to teach me about it.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-19 01:19:13 UTC,1,"ChatGPT (free tier),I don't use a ChatBot regularly",0.0,N/A,0.0,Minimally,1.0,Minimally,1.0,Tremendously,0.0,Moderately,0.0,"I am not confident using python and the library we are using, but I should be able to keep up.",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-19 00:51:38 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,Nothing ,0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,The lack of programming experience ,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-18 20:55:20 UTC,1,ChatGPT (free tier),1.0,NA,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Moderately,0.0,Not understanding large concepts/the material covered in the curriculum despite doing the homework and practice.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-18 16:29:00 UTC,1,ChatGPT (paid subscription),0.0,None,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Final exam,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-17 00:30:23 UTC,1,ChatGPT (free tier),1.0,No other,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,I have no experience with coding.,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-16 23:33:04 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,Am I able to keep up with every lecture and tutorial : (,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-16 18:11:22 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,AI kills people,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-16 15:05:37 UTC,1,I don't use a ChatBot regularly,0.0,N/A,0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,hard to pick up since I joined course late,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-16 14:06:44 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Minimally,1.0,Tremendously,0.0,Moderately,0.0,Tremendously,0.0,"Not having any experience in stats, and little experience with the python coding language. Not knowing how to do the code myself for data analysis, or what the code means in particular.",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-15 00:27:26 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,Minimally,1.0,"",0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 15:56:35 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Moderately,0.0,Tremendously,0.0,Moderately,0.0,My main concern is that the exams might be difficult if I rely on ChatGPT too much.,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Minimally,1.0,"",0.0,6,1,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,I don't use a ChatBot regularly,0.0,"",0.0,Minimally,1.0,Minimally,1.0,Minimally,1.0,Minimally,1.0,"",0.0,6,1,4.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,Moderately,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"",0.0,Moderately,0.0,Minimally,1.0,Tremendously,0.0,Moderately,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,I don't use a ChatBot regularly,0.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:59:00 UTC,1,I don't use a ChatBot regularly,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,"ChatGPT (free tier),I don't use a ChatBot regularly",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:59:00 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Minimally,1.0,"",0.0,"",0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:44:10 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Tremendously,0.0,my main concern is the information of this course is way too much for us to digest and it is very difficult to study for in person tests  ,0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:34:10 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"",0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Moderately,0.0,I have never learned python before so I'm a little bit afraid of getting a low mark,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-14 03:28:13 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,I just enrolled one day ago and I am late for my first homework. I concern how do I extend the deadline of the homework,0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:19:05 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,"",0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:15:18 UTC,1,ChatGPT (free tier),1.0,"",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Minimally,1.0,None,0.0,6,1,4.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 03:13:53 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,"This is my second time taking this course. The first time I took it was in winter last year and although it was a fun course, due to some mental health issues, I missed most of the classes. I'm taking this class with high expectations of having a better understanding of some of the things I did and also learning what I couldn't do before. I'm a little scared because the whole coursework and material seems to be going fast. I just wish to have fun with the course and also do well.",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 02:40:41 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Sometimes I don’t know how to write code,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 01:19:14 UTC,1,ChatGPT (free tier),1.0,none,0.0,Moderately,0.0,Minimally,1.0,Tremendously,0.0,Moderately,0.0,none,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-14 00:40:48 UTC,1,ChatGPT (paid subscription),0.0,N/A,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,Tremendously,0.0,Not being able to switch from my old habits of coding java to python. ,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-13 23:59:18 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,I can’t understand the code we use…I feel like I just copy and paste them from ChatGPT,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 23:31:41 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,coding basic,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 23:27:07 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,I’m worried that the lectures and course will progress too fast,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-13 22:56:23 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,"  As a non-native speaker, I'm actually a liitle bit afraid that I can't keep up with the course. And STA130 is a little bit difficult for me at first. (But after our first homework, I found that we just need to have patience to remember what each code means then we won't be very confused)",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 22:16:31 UTC,1,"Other,I don't use a ChatBot regularly",0.0,"my browser has a built in chatbot that I use to summarize google searches, though I mainly dislike the use of  chatbots due to the many inaccuracies i get",0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Minimally,1.0,The 'forced' use of chatbots,0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 21:50:08 UTC,1,ChatGPT (free tier),1.0,"",0.0,"",0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,That I will behind on all the work due to my course load in other courses.,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 21:39:22 UTC,1,I don't use a ChatBot regularly,0.0,Nothing ,0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Moderately,0.0,I think it's too difficult and I may not be able to adapt to it,0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 20:57:31 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Tremendously,0.0,Moderately,0.0,Tremendously,0.0,"I never thought about Statistic is a coding class, I have no coding experience before so this might be challenging for me, although with the help of chatbot",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 20:46:04 UTC,1,ChatGPT (free tier),1.0,no,0.0,Minimally,1.0,Minimally,1.0,Moderately,0.0,Tremendously,0.0,I have never learned python and how to use a chatbot in sta. STA hard for me for now,0.0,5,2,3.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-13 19:45:38 UTC,1,ChatGPT (free tier),1.0,"",0.0,Moderately,0.0,Moderately,0.0,Tremendously,0.0,Tremendously,0.0,"",0.0,3,4,1.0
